Date & Time,Flow (cfs),Location,Year,,,
1/1/1927,715,"Rio Grande at San Felipe, NM",1927,,,
1/2/1927,697,"Rio Grande at San Felipe, NM",1927,,,
1/3/1927,715,"Rio Grande at San Felipe, NM",1927,,,
1/4/1927,796,"Rio Grande at San Felipe, NM",1927,,,
1/5/1927,825,"Rio Grande at San Felipe, NM",1927,,,
1/6/1927,865,"Rio Grande at San Felipe, NM",1927,,,
1/7/1927,835,"Rio Grande at San Felipe, NM",1927,,,
1/8/1927,796,"Rio Grande at San Felipe, NM",1927,,,
1/9/1927,778,"Rio Grande at San Felipe, NM",1927,,,
1/10/1927,815,"Rio Grande at San Felipe, NM",1927,,,
1/11/1927,815,"Rio Grande at San Felipe, NM",1927,,,
1/12/1927,835,"Rio Grande at San Felipe, NM",1927,,,
1/13/1927,751,"Rio Grande at San Felipe, NM",1927,,,
1/14/1927,715,"Rio Grande at San Felipe, NM",1927,,,
1/15/1927,625,"Rio Grande at San Felipe, NM",1927,,,
1/16/1927,625,"Rio Grande at San Felipe, NM",1927,,,
1/17/1927,625,"Rio Grande at San Felipe, NM",1927,,,
1/18/1927,625,"Rio Grande at San Felipe, NM",1927,,,
1/19/1927,609,"Rio Grande at San Felipe, NM",1927,,,
1/20/1927,634,"Rio Grande at San Felipe, NM",1927,,,
1/21/1927,643,"Rio Grande at San Felipe, NM",1927,,,
1/22/1927,661,"Rio Grande at San Felipe, NM",1927,,,
1/23/1927,643,"Rio Grande at San Felipe, NM",1927,,,
1/24/1927,634,"Rio Grande at San Felipe, NM",1927,,,
1/25/1927,643,"Rio Grande at San Felipe, NM",1927,,,
1/26/1927,625,"Rio Grande at San Felipe, NM",1927,,,
1/27/1927,643,"Rio Grande at San Felipe, NM",1927,,,
1/28/1927,652,"Rio Grande at San Felipe, NM",1927,,,
1/29/1927,643,"Rio Grande at San Felipe, NM",1927,,,
1/30/1927,679,"Rio Grande at San Felipe, NM",1927,,,
1/31/1927,688,"Rio Grande at San Felipe, NM",1927,,,
2/1/1927,706,"Rio Grande at San Felipe, NM",1927,,,
2/2/1927,760,"Rio Grande at San Felipe, NM",1927,,,
2/3/1927,688,"Rio Grande at San Felipe, NM",1927,,,
2/4/1927,697,"Rio Grande at San Felipe, NM",1927,,,
2/5/1927,751,"Rio Grande at San Felipe, NM",1927,,,
2/6/1927,751,"Rio Grande at San Felipe, NM",1927,,,
2/7/1927,751,"Rio Grande at San Felipe, NM",1927,,,
2/8/1927,787,"Rio Grande at San Felipe, NM",1927,,,
2/9/1927,835,"Rio Grande at San Felipe, NM",1927,,,
2/10/1927,769,"Rio Grande at San Felipe, NM",1927,,,
2/11/1927,835,"Rio Grande at San Felipe, NM",1927,,,
2/12/1927,875,"Rio Grande at San Felipe, NM",1927,,,
2/13/1927,895,"Rio Grande at San Felipe, NM",1927,,,
2/14/1927,895,"Rio Grande at San Felipe, NM",1927,,,
2/15/1927,905,"Rio Grande at San Felipe, NM",1927,,,
2/16/1927,955,"Rio Grande at San Felipe, NM",1927,,,
2/17/1927,908,"Rio Grande at San Felipe, NM",1927,,,
2/18/1927,862,"Rio Grande at San Felipe, NM",1927,,,
2/19/1927,815,"Rio Grande at San Felipe, NM",1927,,,
2/20/1927,845,"Rio Grande at San Felipe, NM",1927,,,
2/21/1927,751,"Rio Grande at San Felipe, NM",1927,,,
2/22/1927,905,"Rio Grande at San Felipe, NM",1927,,,
2/23/1927,955,"Rio Grande at San Felipe, NM",1927,,,
2/24/1927,965,"Rio Grande at San Felipe, NM",1927,,,
2/25/1927,975,"Rio Grande at San Felipe, NM",1927,,,
2/26/1927,1040,"Rio Grande at San Felipe, NM",1927,,,
2/27/1927,1160,"Rio Grande at San Felipe, NM",1927,,,
2/28/1927,1140,"Rio Grande at San Felipe, NM",1927,,,
3/1/1927,1080,"Rio Grande at San Felipe, NM",1927,,,
3/2/1927,985,"Rio Grande at San Felipe, NM",1927,,,
3/3/1927,975,"Rio Grande at San Felipe, NM",1927,,,
3/4/1927,985,"Rio Grande at San Felipe, NM",1927,,,
3/5/1927,1060,"Rio Grande at San Felipe, NM",1927,,,
3/6/1927,1080,"Rio Grande at San Felipe, NM",1927,,,
3/7/1927,1050,"Rio Grande at San Felipe, NM",1927,,,
3/8/1927,1040,"Rio Grande at San Felipe, NM",1927,,,
3/9/1927,1040,"Rio Grande at San Felipe, NM",1927,,,
3/10/1927,1150,"Rio Grande at San Felipe, NM",1927,,,
3/11/1927,1300,"Rio Grande at San Felipe, NM",1927,,,
3/12/1927,1310,"Rio Grande at San Felipe, NM",1927,,,
3/13/1927,1330,"Rio Grande at San Felipe, NM",1927,,,
3/14/1927,1190,"Rio Grande at San Felipe, NM",1927,,,
3/15/1927,1200,"Rio Grande at San Felipe, NM",1927,,,
3/16/1927,1220,"Rio Grande at San Felipe, NM",1927,,,
3/17/1927,1210,"Rio Grande at San Felipe, NM",1927,,,
3/18/1927,1160,"Rio Grande at San Felipe, NM",1927,,,
3/19/1927,1030,"Rio Grande at San Felipe, NM",1927,,,
3/20/1927,1040,"Rio Grande at San Felipe, NM",1927,,,
3/21/1927,1150,"Rio Grande at San Felipe, NM",1927,,,
3/22/1927,1160,"Rio Grande at San Felipe, NM",1927,,,
3/23/1927,1100,"Rio Grande at San Felipe, NM",1927,,,
3/24/1927,1060,"Rio Grande at San Felipe, NM",1927,,,
3/25/1927,1040,"Rio Grande at San Felipe, NM",1927,,,
3/26/1927,1140,"Rio Grande at San Felipe, NM",1927,,,
3/27/1927,1400,"Rio Grande at San Felipe, NM",1927,,,
3/28/1927,1490,"Rio Grande at San Felipe, NM",1927,,,
3/29/1927,1510,"Rio Grande at San Felipe, NM",1927,,,
3/30/1927,2010,"Rio Grande at San Felipe, NM",1927,,,
3/31/1927,2130,"Rio Grande at San Felipe, NM",1927,,,
4/1/1927,3060,"Rio Grande at San Felipe, NM",1927,,,
4/2/1927,1970,"Rio Grande at San Felipe, NM",1927,,,
4/3/1927,2340,"Rio Grande at San Felipe, NM",1927,,,
4/4/1927,3420,"Rio Grande at San Felipe, NM",1927,,,
4/5/1927,4750,"Rio Grande at San Felipe, NM",1927,,,
4/6/1927,4530,"Rio Grande at San Felipe, NM",1927,,,
4/7/1927,4120,"Rio Grande at San Felipe, NM",1927,,,
4/8/1927,4120,"Rio Grande at San Felipe, NM",1927,,,
4/9/1927,3820,"Rio Grande at San Felipe, NM",1927,,,
4/10/1927,3140,"Rio Grande at San Felipe, NM",1927,,,
4/11/1927,3140,"Rio Grande at San Felipe, NM",1927,,,
4/12/1927,3090,"Rio Grande at San Felipe, NM",1927,,,
4/13/1927,2650,"Rio Grande at San Felipe, NM",1927,,,
4/14/1927,2430,"Rio Grande at San Felipe, NM",1927,,,
4/15/1927,2120,"Rio Grande at San Felipe, NM",1927,,,
4/16/1927,1820,"Rio Grande at San Felipe, NM",1927,,,
4/17/1927,1740,"Rio Grande at San Felipe, NM",1927,,,
4/18/1927,1710,"Rio Grande at San Felipe, NM",1927,,,
4/19/1927,1760,"Rio Grande at San Felipe, NM",1927,,,
4/20/1927,1760,"Rio Grande at San Felipe, NM",1927,,,
4/21/1927,1900,"Rio Grande at San Felipe, NM",1927,,,
4/22/1927,1990,"Rio Grande at San Felipe, NM",1927,,,
4/23/1927,2480,"Rio Grande at San Felipe, NM",1927,,,
4/24/1927,3200,"Rio Grande at San Felipe, NM",1927,,,
4/25/1927,4430,"Rio Grande at San Felipe, NM",1927,,,
4/26/1927,5070,"Rio Grande at San Felipe, NM",1927,,,
4/27/1927,5730,"Rio Grande at San Felipe, NM",1927,,,
4/28/1927,5560,"Rio Grande at San Felipe, NM",1927,,,
4/29/1927,5380,"Rio Grande at San Felipe, NM",1927,,,
4/30/1927,6450,"Rio Grande at San Felipe, NM",1927,,,
5/1/1927,7280,"Rio Grande at San Felipe, NM",1927,,,
5/2/1927,8030,"Rio Grande at San Felipe, NM",1927,,,
5/3/1927,8610,"Rio Grande at San Felipe, NM",1927,,,
5/4/1927,9380,"Rio Grande at San Felipe, NM",1927,,,
5/5/1927,9940,"Rio Grande at San Felipe, NM",1927,,,
5/6/1927,10400,"Rio Grande at San Felipe, NM",1927,,,
5/7/1927,9680,"Rio Grande at San Felipe, NM",1927,,,
5/8/1927,9540,"Rio Grande at San Felipe, NM",1927,,,
5/9/1927,8290,"Rio Grande at San Felipe, NM",1927,,,
5/10/1927,6820,"Rio Grande at San Felipe, NM",1927,,,
5/11/1927,5620,"Rio Grande at San Felipe, NM",1927,,,
5/12/1927,4980,"Rio Grande at San Felipe, NM",1927,,,
5/13/1927,4580,"Rio Grande at San Felipe, NM",1927,,,
5/14/1927,5130,"Rio Grande at San Felipe, NM",1927,,,
