Date & Time,Flow (cfs),Location,Year
10/1/1970,608,"Rio Grande Below Cochiti Dam, NM",1970
10/2/1970,556,"Rio Grande Below Cochiti Dam, NM",1970
10/3/1970,563,"Rio Grande Below Cochiti Dam, NM",1970
10/4/1970,600,"Rio Grande Below Cochiti Dam, NM",1970
10/5/1970,578,"Rio Grande Below Cochiti Dam, NM",1970
10/6/1970,533,"Rio Grande Below Cochiti Dam, NM",1970
10/7/1970,519,"Rio Grande Below Cochiti Dam, NM",1970
10/8/1970,498,"Rio Grande Below Cochiti Dam, NM",1970
10/9/1970,533,"Rio Grande Below Cochiti Dam, NM",1970
10/10/1970,570,"Rio Grande Below Cochiti Dam, NM",1970
10/11/1970,608,"Rio Grande Below Cochiti Dam, NM",1970
10/12/1970,681,"Rio Grande Below Cochiti Dam, NM",1970
10/13/1970,785,"Rio Grande Below Cochiti Dam, NM",1970
10/14/1970,673,"Rio Grande Below Cochiti Dam, NM",1970
10/15/1970,608,"Rio Grande Below Cochiti Dam, NM",1970
10/16/1970,616,"Rio Grande Below Cochiti Dam, NM",1970
10/17/1970,673,"Rio Grande Below Cochiti Dam, NM",1970
10/18/1970,624,"Rio Grande Below Cochiti Dam, NM",1970
10/19/1970,698,"Rio Grande Below Cochiti Dam, NM",1970
10/20/1970,767,"Rio Grande Below Cochiti Dam, NM",1970
10/21/1970,842,"Rio Grande Below Cochiti Dam, NM",1970
10/22/1970,851,"Rio Grande Below Cochiti Dam, NM",1970
10/23/1970,842,"Rio Grande Below Cochiti Dam, NM",1970
10/24/1970,823,"Rio Grande Below Cochiti Dam, NM",1970
10/25/1970,842,"Rio Grande Below Cochiti Dam, NM",1970
10/26/1970,851,"Rio Grande Below Cochiti Dam, NM",1970
10/27/1970,870,"Rio Grande Below Cochiti Dam, NM",1970
10/28/1970,920,"Rio Grande Below Cochiti Dam, NM",1970
10/29/1970,890,"Rio Grande Below Cochiti Dam, NM",1970
10/30/1970,823,"Rio Grande Below Cochiti Dam, NM",1970
10/31/1970,851,"Rio Grande Below Cochiti Dam, NM",1970
